MTU (CET/CEST),Area,Resolution,Price,Currency
              09/01/2022 09:00 - 09/01/2022 10:00,BZN|CH,PT60M,198.27,EUR
              09/01/2022 10:00 - 09/01/2022 11:00,BZN|CH,PT60M,223.77,EUR
              09/01/2022 11:00 - 09/01/2022 12:00,BZN|CH,PT60M,224.47,EUR
              09/01/2022 12:00 - 09/01/2022 13:00,BZN|CH,PT60M,224.66,EUR
              09/01/2022 13:00 - 09/01/2022 14:00,BZN|CH,PT60M,212.03,EUR
              09/01/2022 14:00 - 09/01/2022 15:00,BZN|CH,PT60M,216.30,EUR
              09/01/2022 15:00 - 09/01/2022 16:00,BZN|CH,PT60M,218.88,EUR
              09/01/2022 16:00 - 09/01/2022 17:00,BZN|CH,PT60M,226.66,EUR
              09/01/2022 17:00 - 09/01/2022 18:00,BZN|CH,PT60M,235.39,EUR
              09/01/2022 18:00 - 09/01/2022 19:00,BZN|CH,PT60M,243.15,EUR
              09/01/2022 19:00 - 09/01/2022 20:00,BZN|CH,PT60M,243.36,EUR
              09/01/2022 20:00 - 09/01/2022 21:00,BZN|CH,PT60M,232.58,EUR
              09/01/2022 21:00 - 09/01/2022 22:00,BZN|CH,PT60M,219.76,EUR
              09/01/2022 22:00 - 09/01/2022 23:00,BZN|CH,PT60M,214.49,EUR
              09/01/2022 23:00 - 10/01/2022 00:00,BZN|CH,PT60M,211.83,EUR
              10/01/2022 00:00 - 10/01/2022 01:00,BZN|CH,PT60M,210.02,EUR
              10/01/2022 01:00 - 10/01/2022 02:00,BZN|CH,PT60M,203.33,EUR
              10/01/2022 02:00 - 10/01/2022 03:00,BZN|CH,PT60M,196.70,EUR
              10/01/2022 03:00 - 10/01/2022 04:00,BZN|CH,PT60M,195.86,EUR
              10/01/2022 04:00 - 10/01/2022 05:00,BZN|CH,PT60M,198.12,EUR
              10/01/2022 05:00 - 10/01/2022 06:00,BZN|CH,PT60M,209.37,EUR
              10/01/2022 06:00 - 10/01/2022 07:00,BZN|CH,PT60M,252.67,EUR
              10/01/2022 07:00 - 10/01/2022 08:00,BZN|CH,PT60M,297.29,EUR
              10/01/2022 08:00 - 10/01/2022 09:00,BZN|CH,PT60M,309.32,EUR
              10/01/2022 09:00 - 10/01/2022 10:00,BZN|CH,PT60M,309.99,EUR
              10/01/2022 10:00 - 10/01/2022 11:00,BZN|CH,PT60M,305.03,EUR
              10/01/2022 11:00 - 10/01/2022 12:00,BZN|CH,PT60M,304.02,EUR
              10/01/2022 12:00 - 10/01/2022 13:00,BZN|CH,PT60M,297.10,EUR
              10/01/2022 13:00 - 10/01/2022 14:00,BZN|CH,PT60M,286.50,EUR
              10/01/2022 14:00 - 10/01/2022 15:00,BZN|CH,PT60M,289.30,EUR
              10/01/2022 15:00 - 10/01/2022 16:00,BZN|CH,PT60M,295.99,EUR
              10/01/2022 16:00 - 10/01/2022 17:00,BZN|CH,PT60M,302.97,EUR
              10/01/2022 17:00 - 10/01/2022 18:00,BZN|CH,PT60M,322.50,EUR
              10/01/2022 18:00 - 10/01/2022 19:00,BZN|CH,PT60M,321.90,EUR
              10/01/2022 19:00 - 10/01/2022 20:00,BZN|CH,PT60M,301.44,EUR
              10/01/2022 20:00 - 10/01/2022 21:00,BZN|CH,PT60M,279.68,EUR
              10/01/2022 21:00 - 10/01/2022 22:00,BZN|CH,PT60M,257.17,EUR
              10/01/2022 22:00 - 10/01/2022 23:00,BZN|CH,PT60M,240.14,EUR
              10/01/2022 23:00 - 11/01/2022 00:00,BZN|CH,PT60M,225.79,EUR
              11/01/2022 00:00 - 11/01/2022 01:00,BZN|CH,PT60M,213.60,EUR
              11/01/2022 01:00 - 11/01/2022 02:00,BZN|CH,PT60M,203.48,EUR
              11/01/2022 02:00 - 11/01/2022 03:00,BZN|CH,PT60M,197.75,EUR
              11/01/2022 03:00 - 11/01/2022 04:00,BZN|CH,PT60M,194.96,EUR
              11/01/2022 04:00 - 11/01/2022 05:00,BZN|CH,PT60M,195.05,EUR
              11/01/2022 05:00 - 11/01/2022 06:00,BZN|CH,PT60M,203.00,EUR
              11/01/2022 06:00 - 11/01/2022 07:00,BZN|CH,PT60M,239.90,EUR
              11/01/2022 07:00 - 11/01/2022 08:00,BZN|CH,PT60M,293.37,EUR
              11/01/2022 08:00 - 11/01/2022 09:00,BZN|CH,PT60M,310.01,EUR
              11/01/2022 09:00 - 11/01/2022 10:00,BZN|CH,PT60M,299.43,EUR
              11/01/2022 10:00 - 11/01/2022 11:00,BZN|CH,PT60M,291.22,EUR
              11/01/2022 11:00 - 11/01/2022 12:00,BZN|CH,PT60M,280.97,EUR
              11/01/2022 12:00 - 11/01/2022 13:00,BZN|CH,PT60M,275.65,EUR
              11/01/2022 13:00 - 11/01/2022 14:00,BZN|CH,PT60M,271.51,EUR
              11/01/2022 14:00 - 11/01/2022 15:00,BZN|CH,PT60M,274.29,EUR
              11/01/2022 15:00 - 11/01/2022 16:00,BZN|CH,PT60M,280.11,EUR
              11/01/2022 16:00 - 11/01/2022 17:00,BZN|CH,PT60M,286.78,EUR
              11/01/2022 17:00 - 11/01/2022 18:00,BZN|CH,PT60M,314.39,EUR
              11/01/2022 18:00 - 11/01/2022 19:00,BZN|CH,PT60M,321.88,EUR
              11/01/2022 19:00 - 11/01/2022 20:00,BZN|CH,PT60M,308.73,EUR
              11/01/2022 20:00 - 11/01/2022 21:00,BZN|CH,PT60M,277.08,EUR
              11/01/2022 21:00 - 11/01/2022 22:00,BZN|CH,PT60M,247.00,EUR
              11/01/2022 22:00 - 11/01/2022 23:00,BZN|CH,PT60M,230.37,EUR
              11/01/2022 23:00 - 12/01/2022 00:00,BZN|CH,PT60M,217.22,EUR
              12/01/2022 00:00 - 12/01/2022 01:00,BZN|CH,PT60M,203.01,EUR
              12/01/2022 01:00 - 12/01/2022 02:00,BZN|CH,PT60M,199.14,EUR
              12/01/2022 02:00 - 12/01/2022 03:00,BZN|CH,PT60M,196.13,EUR
              12/01/2022 03:00 - 12/01/2022 04:00,BZN|CH,PT60M,190.56,EUR
              12/01/2022 04:00 - 12/01/2022 05:00,BZN|CH,PT60M,192.47,EUR
              12/01/2022 05:00 - 12/01/2022 06:00,BZN|CH,PT60M,204.88,EUR
              12/01/2022 06:00 - 12/01/2022 07:00,BZN|CH,PT60M,234.91,EUR
              12/01/2022 07:00 - 12/01/2022 08:00,BZN|CH,PT60M,289.53,EUR
              12/01/2022 08:00 - 12/01/2022 09:00,BZN|CH,PT60M,308.66,EUR
              12/01/2022 09:00 - 12/01/2022 10:00,BZN|CH,PT60M,302.43,EUR
              12/01/2022 10:00 - 12/01/2022 11:00,BZN|CH,PT60M,287.97,EUR
              12/01/2022 11:00 - 12/01/2022 12:00,BZN|CH,PT60M,275.71,EUR
              12/01/2022 12:00 - 12/01/2022 13:00,BZN|CH,PT60M,260.57,EUR
              12/01/2022 13:00 - 12/01/2022 14:00,BZN|CH,PT60M,254.63,EUR
              12/01/2022 14:00 - 12/01/2022 15:00,BZN|CH,PT60M,256.29,EUR
              12/01/2022 15:00 - 12/01/2022 16:00,BZN|CH,PT60M,263.92,EUR
              12/01/2022 16:00 - 12/01/2022 17:00,BZN|CH,PT60M,275.54,EUR
              12/01/2022 17:00 - 12/01/2022 18:00,BZN|CH,PT60M,298.94,EUR
              12/01/2022 18:00 - 12/01/2022 19:00,BZN|CH,PT60M,294.99,EUR
              12/01/2022 19:00 - 12/01/2022 20:00,BZN|CH,PT60M,285.56,EUR
              12/01/2022 20:00 - 12/01/2022 21:00,BZN|CH,PT60M,258.92,EUR
              12/01/2022 21:00 - 12/01/2022 22:00,BZN|CH,PT60M,230.09,EUR
              12/01/2022 22:00 - 12/01/2022 23:00,BZN|CH,PT60M,222.65,EUR
              12/01/2022 23:00 - 13/01/2022 00:00,BZN|CH,PT60M,211.97,EUR
              13/01/2022 00:00 - 13/01/2022 01:00,BZN|CH,PT60M,202.72,EUR
              13/01/2022 01:00 - 13/01/2022 02:00,BZN|CH,PT60M,195.12,EUR
              13/01/2022 02:00 - 13/01/2022 03:00,BZN|CH,PT60M,190.25,EUR
              13/01/2022 03:00 - 13/01/2022 04:00,BZN|CH,PT60M,187.11,EUR
              13/01/2022 04:00 - 13/01/2022 05:00,BZN|CH,PT60M,187.69,EUR
              13/01/2022 05:00 - 13/01/2022 06:00,BZN|CH,PT60M,201.17,EUR
              13/01/2022 06:00 - 13/01/2022 07:00,BZN|CH,PT60M,222.74,EUR
              13/01/2022 07:00 - 13/01/2022 08:00,BZN|CH,PT60M,259.19,EUR
              13/01/2022 08:00 - 13/01/2022 09:00,BZN|CH,PT60M,278.04,EUR
              13/01/2022 09:00 - 13/01/2022 10:00,BZN|CH,PT60M,274.67,EUR
              13/01/2022 10:00 - 13/01/2022 11:00,BZN|CH,PT60M,259.18,EUR
              13/01/2022 11:00 - 13/01/2022 12:00,BZN|CH,PT60M,244.94,EUR
              13/01/2022 12:00 - 13/01/2022 13:00,BZN|CH,PT60M,234.50,EUR
              13/01/2022 13:00 - 13/01/2022 14:00,BZN|CH,PT60M,226.23,EUR
              13/01/2022 14:00 - 13/01/2022 15:00,BZN|CH,PT60M,223.20,EUR
              13/01/2022 15:00 - 13/01/2022 16:00,BZN|CH,PT60M,227.95,EUR
              13/01/2022 16:00 - 13/01/2022 17:00,BZN|CH,PT60M,241.62,EUR
              13/01/2022 17:00 - 13/01/2022 18:00,BZN|CH,PT60M,265.32,EUR
              13/01/2022 18:00 - 13/01/2022 19:00,BZN|CH,PT60M,279.39,EUR
              13/01/2022 19:00 - 13/01/2022 20:00,BZN|CH,PT60M,275.99,EUR
